epoch,val_max,val_mean,conpr_max,conpr_mean,delta_conpr_pp,conslam_max,conslam_mean,delta_conslam_pp
00,65.0600,65.2800,80.9200,80.6000,-0.3200,61.1100,59.3800,-1.7300
01,63.6400,64.1400,78.6900,78.5900,-0.1000,60.4200,60.4200,0.0000
02,63.9500,64.0500,79.6500,79.4700,-0.1800,57.2900,55.9000,-1.3900
03,62.0900,63.2600,78.9200,78.5600,-0.3600,57.6400,58.6800,1.0400
04,62.1500,62.6600,79.4200,78.8100,-0.6100,58.6800,57.9900,-0.6900
05,62.6900,62.4700,78.5800,78.1800,-0.4000,58.3300,58.6800,0.3500
06,63.6000,62.4400,78.9900,78.7500,-0.2400,56.6000,57.9900,1.3900
07,63.5700,62.3100,79.0400,78.9600,-0.0800,58.6800,60.4200,1.7400
08,63.6700,62.1500,78.7700,78.8000,0.0300,57.6400,59.7200,2.0800
09,63.6000,62.3400,78.5500,78.7200,0.1700,59.7200,60.4200,0.7000
